order_item_id,order_id,product_id,quantity
518,49,51,3
519,268,96,5
520,99,51,4
521,77,62,2
522,20,94,2
523,41,95,1
524,20,67,5
525,242,73,4
526,168,67,2
527,289,91,4
528,204,2,4
529,283,93,5
530,231,22,5
531,192,7,3
532,181,57,2
533,280,39,1
534,227,98,3
535,100,21,2
536,227,6,3
537,291,44,2
538,292,63,4
539,5,74,2
540,31,57,2
541,261,27,4
542,239,16,3
543,135,18,2
544,169,17,2
545,272,40,2
546,284,91,4
547,240,59,5
548,283,40,2
549,267,79,5
550,159,76,2
551,145,87,2
552,4,44,1
553,218,49,5
554,92,80,4
555,231,69,4
556,187,27,1
557,44,93,1
558,50,69,4
559,71,57,4
560,94,61,4
561,268,76,1
562,100,76,4
563,251,50,3
564,179,100,2
565,140,24,1
566,285,8,1
567,282,30,4
568,164,57,3
569,53,50,1
570,240,36,4
571,239,43,5
572,50,22,4
573,278,55,5
574,245,65,2
575,164,19,3
576,71,79,2
577,116,28,4
578,80,14,1
579,218,7,4
580,78,48,5
581,165,36,4
582,8,50,4
583,229,39,3
584,298,50,3
585,149,23,1
586,251,24,4
587,79,59,1
588,276,16,5
589,164,41,4
590,287,82,3
591,298,41,5
592,237,42,4
593,202,69,2
594,86,31,5
595,103,77,2
596,27,100,3
597,32,43,4
598,16,45,3
599,186,77,5
600,210,27,3
601,115,41,4
602,197,86,2
603,5,50,3
604,114,30,1
605,164,50,2
606,151,13,4
607,3,45,1
608,209,20,1
609,274,94,2
610,175,19,4
611,224,42,5
612,268,36,2
613,100,21,2
614,276,21,2
615,62,57,5
616,268,17,4
617,69,43,5
618,163,77,2
619,11,46,2
620,116,31,4
621,251,5,1
622,69,69,4
623,290,19,2
624,185,91,2
625,144,95,3
626,34,50,4
627,16,68,4
628,101,93,2
629,106,89,1
630,156,6,3
631,266,25,1
632,55,99,1
633,205,43,1
634,229,92,5
635,268,91,4
636,144,19,4
637,191,83,3
638,197,53,4
639,189,71,2
640,101,9,2
641,122,31,1
642,124,86,4
643,234,79,4
644,291,13,1
645,89,68,1
646,23,56,3
647,213,17,2
648,192,54,3
649,300,96,1
650,260,59,2
651,268,47,5
652,31,45,1
653,126,82,1
654,224,20,1
655,188,17,2
656,148,4,4
657,14,62,1
658,221,12,4
659,279,78,5
660,50,17,5
661,202,83,5
662,279,53,2
663,268,49,4
664,163,57,1
665,35,27,5
666,190,14,1
667,182,14,2
668,57,89,5
669,45,1,5
670,222,31,1
671,158,63,5
672,32,74,4
673,287,39,4
674,21,86,5
675,15,36,5
676,245,57,2
677,138,42,4
678,227,69,1
679,138,66,2
680,225,59,3
681,300,76,2
682,165,66,4
683,212,88,5
684,204,62,2
685,157,3,1
686,76,64,1
687,185,34,3
688,278,39,2
689,55,65,2
690,234,5,4
691,241,94,5
692,167,70,3
693,65,92,1
694,276,26,3
695,34,60,3
696,7,83,3
697,257,89,1
698,290,52,1
699,51,88,3
700,294,58,1
